Country,Target,so1_OO1_1,Ind1,Ind2,Ind3,Ind4,so1_OO1_2,Ind5,Ind6,Ind7,Ind8,so1_OO2_1,Ind9,Ind10,Ind11,Ind12,so1_OO3_1,Ind13,Ind14,Ind15,Ind16,
Ecuador,0,0.867,0.667,1.000,0.800,1.000,0.592,0.917,0.618,0.500,0.333,0.661,1.000,0.063,0.792,0.792,0.593,0.525,0.380,0.553,0.917,
Egypt,0,0.122,0.000,0.000,,0.366,0.455,0.611,0.415,0.458,0.333,0.565,0.767,0.183,0.872,0.436,0.449,0.413,0.136,0.474,0.774,
Indonesia,0,0.481,0.333,0.500,,0.611,0.476,0.694,0.292,0.583,0.333,0.677,1.000,0.167,0.708,0.833,0.514,0.339,0.438,0.586,0.694,
Jamaica,0,0.741,1.000,1.000,,0.222,0.424,0.694,0.063,0.438,0.500,0.391,0.250,0.000,0.750,0.563,0.268,0.050,0.000,0.146,0.875,
Madagascar,0,0.463,0.667,0.500,,0.222,0.311,0.389,0.250,0.271,0.333,0.316,0.679,0.021,0.301,0.265,0.259,0.094,0.068,0.277,0.597,
Mauritania,0,0.622,1.000,0.500,0.800,0.188,0.344,0.250,0.167,0.625,0.333,0.609,0.875,0.167,0.833,0.563,0.545,0.608,0.000,0.779,0.792,
Montenegro,0,0.444,,,,0.444,0.479,1.000,0.000,0.438,,0.250,0.250,0.125,0.500,0.125,0.125,0.050,0.000,0.117,0.333,
Pakistan,0,0.115,0.000,0.000,,0.346,0.433,0.267,0.403,0.729,0.333,0.391,0.778,0.125,0.340,0.319,0.269,0.228,0.000,0.423,0.426,
Saint Kitts and Nev,0,0.667,1.000,1.000,,0.000,0.544,0.694,0.150,0.667,0.667,0.329,0.267,0.067,0.400,0.583,0.238,0.093,0.000,0.330,0.528,
Saudi Arabia,0,0.250,0.333,,,0.167,0.555,1.000,0.200,0.688,0.333,0.318,0.500,0.250,0.333,0.188,0.427,0.343,0.167,0.503,0.694,
Sierra Leone,0,0.474,0.667,1.000,0.000,0.229,0.223,0.267,0.260,0.198,0.167,0.594,0.875,0.208,0.750,0.542,0.314,0.183,0.094,0.408,0.569,
Somalia,0,0.056,0.000,0.000,,0.167,0.087,0.067,0.052,0.229,0.000,0.133,0.000,0.000,0.375,0.156,0.124,0.000,0.000,0.119,0.375,
South Africa,0,0.809,1.000,1.000,,0.426,0.597,0.556,0.583,0.583,0.667,0.483,0.556,0.306,0.625,0.444,0.263,0.307,0.021,0.355,0.370,
Sudan,0,0.556,1.000,0.500,,0.167,0.317,0.267,0.563,0.438,0.000,0.344,0.250,0.000,0.750,0.375,0.421,0.369,0.396,0.335,0.583,
Tajikistan,0,0.118,0.000,0.000,,0.354,0.330,0.556,0.217,0.380,0.167,0.605,0.813,0.208,0.850,0.549,0.381,0.296,0.009,0.420,0.798,
Tuvalu,0,0.056,,,,0.056,0.567,0.933,0.083,0.917,0.333,0.167,0.000,0.083,0.250,0.333,0.239,0.022,0.000,0.157,0.778,
Uruguay,0,0.352,0.000,0.500,,0.556,0.552,1.000,0.125,0.250,0.833,0.500,0.750,0.000,0.750,0.500,0.311,0.142,0.063,0.208,0.833,
Viet Nam,0,0.319,0.333,,,0.306,0.660,0.722,0.792,0.792,0.333,0.563,0.500,0.000,0.750,1.000,0.560,0.456,0.167,0.618,1.000,
Yemen,0,0.602,1.000,0.500,,0.306,0.272,0.222,0.354,0.510,0.000,0.708,1.000,0.354,0.792,0.688,0.234,0.008,0.021,0.296,0.611,
